observation,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,rule,dpos,trial_type,sigma_q,sigma_r,noise_v,ITI,duration_tones,ISI,trial_n,run_n,session_n
1649.8896,1625.7969,1503.5928,1000,1050,240,240,1,4,0,10,10,24.0927,4.0000,0.1000,0.6500,18,0,1
1632.2474,1630.3386,1524.3273,1000,1050,240,240,1,4,0,10,10,1.9088,4.0000,0.1000,0.6500,18,0,1
1639.1241,1642.7089,1518.0885,1000,1050,240,240,1,4,0,10,10,-3.5847,4.0000,0.1000,0.6500,18,0,1
1541.1261,1537.1198,1517.8486,1000,1050,240,240,1,6,0,10,10,4.0063,4.0000,0.1000,0.6500,19,0,1
1533.2999,1545.9629,1529.7847,1000,1050,240,240,1,6,0,10,10,-12.6629,4.0000,0.1000,0.6500,19,0,1
1541.5236,1551.2829,1544.2454,1000,1050,240,240,1,6,0,10,10,-9.7592,4.0000,0.1000,0.6500,19,0,1
1557.3813,1565.9669,1546.6839,1000,1050,240,240,1,6,0,10,10,-8.5856,4.0000,0.1000,0.6500,19,0,1
1606.2630,1594.4676,1547.9657,1000,1050,240,240,1,6,0,10,10,11.7954,4.0000,0.1000,0.6500,19,0,1
1604.8213,1602.9259,1532.8137,1000,1050,240,240,1,6,0,10,10,1.8955,4.0000,0.1000,0.6500,19,0,1
1529.4851,1594.9311,1532.7258,1000,1050,240,240,1,6,1,10,10,-3.2407,4.0000,0.1000,0.6500,19,0,1
1590.6428,1596.3941,1517.2678,1000,1050,240,240,1,6,0,10,10,-5.7513,4.0000,0.1000,0.6500,19,0,1
1543.2350,1551.8409,1638.4249,1000,1050,240,240,1,5,0,10,10,-8.6058,3.0000,0.1000,0.6500,20,0,1
1529.6051,1544.3067,1644.4684,1000,1050,240,240,1,5,0,10,10,-14.7016,3.0000,0.1000,0.6500,20,0,1
1566.7233,1548.1741,1641.7383,1000,1050,240,240,1,5,0,10,10,18.5492,3.0000,0.1000,0.6500,20,0,1
1543.5390,1545.8084,1645.6323,1000,1050,240,240,1,5,0,10,10,-2.2694,3.0000,0.1000,0.6500,20,0,1
1516.3271,1525.3953,1654.4759,1000,1050,240,240,1,5,0,10,10,-9.0682,3.0000,0.1000,0.6500,20,0,1
1647.9814,1530.2499,1640.8782,1000,1050,240,240,1,5,1,10,10,7.1033,3.0000,0.1000,0.6500,20,0,1
1530.4520,1530.0353,1647.7056,1000,1050,240,240,1,5,0,10,10,0.4167,3.0000,0.1000,0.6500,20,0,1
1516.0823,1523.5248,1632.4146,1000,1050,240,240,1,5,0,10,10,-7.4425,3.0000,0.1000,0.6500,20,0,1
1498.4107,1506.3087,1375.7279,1000,1050,240,240,1,6,0,10,10,-7.8980,5.0000,0.1000,0.6500,21,0,1
1523.4234,1516.4035,1369.4575,1000,1050,240,240,1,6,0,10,10,7.0199,5.0000,0.1000,0.6500,21,0,1
1533.8950,1519.9834,1366.8594,1000,1050,240,240,1,6,0,10,10,13.9116,5.0000,0.1000,0.6500,21,0,1
1501.1380,1509.5574,1351.9659,1000,1050,240,240,1,6,0,10,10,-8.4195,5.0000,0.1000,0.6500,21,0,1
1499.6562,1506.6683,1348.7145,1000,1050,240,240,1,6,0,10,10,-7.0121,5.0000,0.1000,0.6500,21,0,1
1481.1207,1497.4024,1354.0659,1000,1050,240,240,1,6,0,10,10,-16.2817,5.0000,0.1000,0.6500,21,0,1
1345.0919,1493.9182,1348.1299,1000,1050,240,240,1,6,1,10,10,-3.0380,5.0000,0.1000,0.6500,21,0,1
1519.0221,1509.8516,1350.3972,1000,1050,240,240,1,6,0,10,10,9.1704,5.0000,0.1000,0.6500,21,0,1
1681.3656,1689.4333,1558.9446,1000,1050,240,240,1,5,0,10,10,-8.0676,3.5000,0.1000,0.6500,22,0,1
1682.3883,1698.8423,1558.1615,1000,1050,240,240,1,5,0,10,10,-16.4540,3.5000,0.1000,0.6500,22,0,1
1666.7364,1692.5997,1563.1121,1000,1050,240,240,1,5,0,10,10,-25.8633,3.5000,0.1000,0.6500,22,0,1
1682.2710,1698.6464,1563.9448,1000,1050,240,240,1,5,0,10,10,-16.3754,3.5000,0.1000,0.6500,22,0,1
1691.6152,1694.6602,1558.5142,1000,1050,240,240,1,5,0,10,10,-3.0450,3.5000,0.1000,0.6500,22,0,1
1565.4503,1698.7242,1567.2806,1000,1050,240,240,1,5,1,10,10,-1.8303,3.5000,0.1000,0.6500,22,0,1
1683.9056,1691.3795,1571.7417,1000,1050,240,240,1,5,0,10,10,-7.4738,3.5000,0.1000,0.6500,22,0,1
1678.5951,1691.7069,1569.0840,1000,1050,240,240,1,5,0,10,10,-13.1117,3.5000,0.1000,0.6500,22,0,1
1612.3068,1604.6807,1740.0767,1000,1050,240,240,2,0,0,10,10,7.6261,3.0000,0.1000,0.6500,23,0,1
1608.9201,1595.7078,1735.2393,1000,1050,240,240,2,0,0,10,10,13.2123,3.0000,0.1000,0.6500,23,0,1
1610.4984,1613.1510,1732.5059,1000,1050,240,240,2,0,0,10,10,-2.6526,3.0000,0.1000,0.6500,23,0,1
1599.1576,1609.2439,1744.1444,1000,1050,240,240,2,0,0,10,10,-10.0863,3.0000,0.1000,0.6500,23,0,1
1638.6607,1630.2940,1740.9545,1000,1050,240,240,2,0,0,10,10,8.3668,3.0000,0.1000,0.6500,23,0,1
1640.2799,1633.0040,1744.3138,1000,1050,240,240,2,0,0,10,10,7.2759,3.0000,0.1000,0.6500,23,0,1
1617.2431,1628.2693,1756.8637,1000,1050,240,240,2,0,0,10,10,-11.0262,3.0000,0.1000,0.6500,23,0,1
1631.8932,1624.0057,1737.8486,1000,1050,240,240,2,0,0,10,10,7.8875,3.0000,0.1000,0.6500,23,0,1
1721.9115,1724.1005,1604.9557,1000,1050,240,240,1,4,0,10,10,-2.1890,7.5000,0.1000,0.6500,24,0,1
1718.8141,1727.9803,1610.8927,1000,1050,240,240,1,4,0,10,10,-9.1661,7.5000,0.1000,0.6500,24,0,1
1748.4223,1752.2019,1596.8368,1000,1050,240,240,1,4,0,10,10,-3.7796,7.5000,0.1000,0.6500,24,0,1
1739.2545,1741.4790,1606.8310,1000,1050,240,240,1,4,0,10,10,-2.2245,7.5000,0.1000,0.6500,24,0,1
1592.8760,1731.5096,1594.9397,1000,1050,240,240,1,4,1,10,10,-2.0638,7.5000,0.1000,0.6500,24,0,1
1726.5316,1719.8867,1606.8998,1000,1050,240,240,1,4,0,10,10,6.6448,7.5000,0.1000,0.6500,24,0,1
1730.3169,1738.5516,1588.4780,1000,1050,240,240,1,4,0,10,10,-8.2347,7.5000,0.1000,0.6500,24,0,1
1747.2532,1736.2777,1578.5147,1000,1050,240,240,1,4,0,10,10,10.9755,7.5000,0.1000,0.6500,24,0,1
1553.6043,1554.5276,1523.8755,1000,1050,240,240,0,3,0,10,10,-0.9233,5.0000,0.1000,0.6500,25,0,1
1550.4388,1551.7757,1522.9710,1000,1050,240,240,0,3,0,10,10,-1.3370,5.0000,0.1000,0.6500,25,0,1
1559.2520,1550.3100,1517.9259,1000,1050,240,240,0,3,0,10,10,8.9420,5.0000,0.1000,0.6500,25,0,1
1522.2883,1554.7971,1523.1273,1000,1050,240,240,0,3,1,10,10,-0.8390,5.0000,0.1000,0.6500,25,0,1
1545.6271,1548.0756,1534.9344,1000,1050,240,240,0,3,0,10,10,-2.4485,5.0000,0.1000,0.6500,25,0,1
1538.8863,1542.3851,1521.1084,1000,1050,240,240,0,3,0,10,10,-3.4988,5.0000,0.1000,0.6500,25,0,1
1532.4365,1542.5760,1505.1486,1000,1050,240,240,0,3,0,10,10,-10.1395,5.0000,0.1000,0.6500,25,0,1
1543.1581,1542.5361,1511.4153,1000,1050,240,240,0,3,0,10,10,0.6220,5.0000,0.1000,0.6500,25,0,1
1480.0424,1473.0536,1580.0604,1000,1050,240,240,0,2,0,10,10,6.9887,6.5000,0.1000,0.6500,26,0,1
1464.2331,1462.9515,1589.4517,1000,1050,240,240,0,2,0,10,10,1.2816,6.5000,0.1000,0.6500,26,0,1
1581.6423,1458.8006,1584.2780,1000,1050,240,240,0,2,1,10,10,-2.6358,6.5000,0.1000,0.6500,26,0,1
1440.8923,1451.0292,1605.6807,1000,1050,240,240,0,2,0,10,10,-10.1369,6.5000,0.1000,0.6500,26,0,1
