onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	confidence	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
70026.018015083	5.35	0	70029.768015083	5.34881670800678		70041.36795775	70031.366831791	70031.368015083	70041.368015083	70031.366916125	70041.367315	10.0	1020.46			3	2	0	2	129	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70026.018015083	5.35	0	70030.518015083	5.34881670800678		70041.36795775	70031.366831791	70031.368015083	70041.368015083	70031.366916125	70041.367315	10.0	1033.92			3	2	0	2	129	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70026.018015083	5.35	0	70031.268015083	5.34881670800678		70041.36795775	70031.366831791	70031.368015083	70041.368015083	70031.366916125	70041.367315	10.0	1005.39			3	2	0	2	129	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70041.384520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1032.85			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70042.134520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1046.81			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70042.884520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1030.49			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70043.634520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1043.54			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70044.384520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1032.94			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70045.134520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1057.21			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70045.884520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1062.82			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70041.384520166	5.35	0	70046.634520166	5.349155333999079		70057.234459958	70046.7336755	70046.734520166	70057.234520166	70046.733769625	70057.233152208	10.5	1096.92			4	0	2	2	130	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70057.251334875	5.35	0	70057.251334875	5.348973624990322		70073.601272291	70062.6003085	70062.60133487501	70073.60133487501	70062.60039825	70073.599872916	11.0	1085.92			3	2	0	2	131	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
70057.251334875	5.35	0	70058.001334875	5.348973624990322		70073.601272291	70062.6003085	70062.60133487501	70073.60133487501	70062.60039825	70073.599872916	11.0	1099.9			3	2	0	2	131	160	1000	1050	69889.498007333	69889.6780395	69889.84304925	69890.038216916	69890.233318708
