onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
93554.71752820801	5.35	0	93554.71752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	825.81		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	0	93555.46752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	837.51		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	0	93556.21752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	820.3		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	0	93556.96752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	857.56		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	1	93557.71752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	1089.33		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	0	93558.46752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	839.91		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	0	93559.21752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	857.17		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93554.71752820801	5.35	0	93559.96752820801	5.348175541992532		93567.567512541	93560.06570375	93560.06752820802	93567.56752820802	93560.065708208	93567.565989625	7.5	849.97		3	4	0	1	68	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93567.574700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	866.43		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
93567.574700041	5.35	0	93568.324700041	5.348086208992754		93578.424685791	93572.92278625	93572.92470004101	93578.42470004101	93572.922793916	93578.424234916	5.5	854.03		4	0	2	1	69	240	1000	1050	93478.71204625	93478.876229083	93479.02430325	93479.18941875	93479.354394291
