onset	duration	trial_type	onset_tone	duration_imprecise	response_time_imprecise	offset_trial	offset_sound_imprecise	onset_iti	offset_iti	onset_iti_imprecise	offset_iti_imprecise	ITI	frequency	key_pressed	confidence	correct	dpos	rule	runs	trial_no	tau_std	lim_std	lim_dev	trigger_time_1	trigger_time_2	trigger_time_3	trigger_time_4	trigger_time_5
24785.472011041336	5.35	0	24788.472011041336	5.347318541662389		24802.321904624336	24790.819329583	24790.822011041335	24802.322011041335	24790.819420958	24802.319409375	11.5	-0.64			3	2	0	0	30	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24785.472011041336	5.35	0	24789.222011041336	5.347318541662389		24802.321904624336	24790.819329583	24790.822011041335	24802.322011041335	24790.819420958	24802.319409375	11.5	-0.63			3	2	0	0	30	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24785.472011041336	5.35	0	24789.972011041336	5.347318541662389		24802.321904624336	24790.819329583	24790.822011041335	24802.322011041335	24790.819420958	24802.319409375	11.5	-0.61			3	2	0	0	30	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24785.472011041336	5.35	0	24790.722011041336	5.347318541662389		24802.321904624336	24790.819329583	24790.822011041335	24802.322011041335	24790.819420958	24802.319409375	11.5	-0.64			3	2	0	0	30	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24802.338779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.62			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24803.088779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.58			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24803.838779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.57			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	1	24804.588779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.49			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24805.338779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.55			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24806.088779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.57			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24806.838779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.58			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24802.338779541336	5.35	0	24807.588779541336	5.346774333662324		24815.188699874336	24807.685553875	24807.688779541335	24815.188779541335	24807.685644833	24815.185852875	7.5	-0.57			3	3	0	0	31	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
24815.205574791336	5.35	0	24815.205574791336	5.349812208663934		24829.055488708338	24820.555387	24820.555574791335	24829.055574791335	24820.555505375	24829.052367958	8.5	-0.62			4	0	2	0	32	16	-0.6	-0.4923	24351.702824375	24351.815583791	24351.998866625	24352.190692416	24352.400821083
