onset	onset_tone	duration	duration_getsecs	offset_trial	offset_sound	offset_sound_getsecs	onset_iti	onset_iti_getsecs	offset_iti	offset_iti_getsecs	ITI	rt_getsecs_trial	rt_getsecs_dev	rt_slider_getsecs	tau_std	frequency	lim_std	lim_dev	key_pressed	correct	confidence	rule	dpos	trial_type	is_catch_n_minus_one	catch_key	catch_correct	catch_rt	runs	trial_no
490583.11965725	490586.11965725	5.35	5.34754766698461	490594.46960175	490588.46965725	490588.467204917	490588.46965725	490588.480192334	490594.46965725	490594.479417709	6	3.4320501670008525	1.9320501670008525	0.33068208303302526	160	657.31	-0.6	-0.399	y	0	5	0	2	0	0				0	5
490583.11965725	490586.86965725	5.35	5.34754766698461	490594.46960175	490588.46965725	490588.467204917	490588.46965725	490588.480192334	490594.46965725	490594.479417709	6	3.4320501670008525	1.9320501670008525	0.33068208303302526	160	661.9	-0.6	-0.399	y	0	5	0	2	0	0				0	5
490583.11965725	490587.61965725	5.35	5.34754766698461	490594.46960175	490588.46965725	490588.467204917	490588.46965725	490588.480192334	490594.46965725	490594.479417709	6	3.4320501670008525	1.9320501670008525	0.33068208303302526	160	659.75	-0.6	-0.399	y	0	5	0	2	0	0				0	5
490583.11965725	490588.36965725	5.35	5.34754766698461	490594.46960175	490588.46965725	490588.467204917	490588.46965725	490588.480192334	490594.46965725	490594.479417709	6	3.4320501670008525	1.9320501670008525	0.33068208303302526	160	661.7	-0.6	-0.399	y	0	5	0	2	0	0				0	5
490598.483644791	490598.483644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	656.77	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490598.483644791	490599.233644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	659.61	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490598.483644791	490599.983644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	653.69	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490598.483644791	490600.733644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	652.79	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490598.483644791	490601.483644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	655.39	-0.6	-0.399	y	0	5	0	4	1	1	l	0	0.9200436250539497	0	6
490598.483644791	490602.233644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	650.3	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490598.483644791	490602.983644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	660.05	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490598.483644791	490603.733644791	5.35	5.346591750974767	490609.833590333	490603.833644791	490603.830236542	490603.833644791	490603.834939792	490609.833644791	490609.833954042	6	4.897598918003496	1.8975989180034958	0.27785320801194757	160	660.2	-0.6	-0.399	y	0	5	0	4	0	1	l	0	0.9200436250539497	0	6
490609.839840291	490609.839840291	5.35	5.345000500965398	490621.18978495797	490615.189840291	490615.184840792	490615.189840291	490615.196991292	490621.189840291	490621.196045	6	5.09035779297119	2.09035779297119	0.31643729098141193	160	660.81	-0.6	-0.399	i	0	5	0	4	0	0				0	7
